I,-0.00342,-0.58545,0.79199,-3.0,-2.0,-3.0,0.0,-1.0,-3.0,-5.0,-6.0,-0.0625,0.3125,1.0,0.8924,-0.28955,0.1106,-0.32794,-0.06201,0.74658,0.6499,-2.0,-6.0,-1.0,-1.0,-2.0,-1.0,0.0,1.0,-1.25,-3.75,0.8125,-0.83582,-0.36713,-0.19257,-0.36005,0.02734,-0.58789,0.82422,-2.0,-1.0,-3.0,-3.0,1.0,4.0,0.0,-3.0,0.625,-9.8125,-8.9375,0.89441,-0.29138,0.08789,-0.32776,-0.10547,0.74512,0.89941,-8.0,-6.0,-5.0,-6.0,-10.0,-5.0,5.0,-30.0,-8.25,90.375,-108.9375,-0.8855,-0.32843,-0.1886,-0.26941
I,-0.01807,-0.55713,0.8125,0.0,-1.0,1.0,-2.0,-4.0,-1.0,2.0,0.0,0.8125,-2.5,0.5625,0.94244,-0.28876,0.05945,-0.15778,-0.08789,0.81201,0.62402,-4.0,-5.0,1.0,-1.0,3.0,3.0,1.0,1.0,-10.375,-16.8125,3.0625,-0.87134,-0.41028,-0.14215,-0.22888,0.01709,-0.55566,0.8291,1.0,-2.0,0.0,0.0,-3.0,-5.0,0.0,0.0,-3.1875,-6.5625,-13.0625,0.94055,-0.29181,0.04022,-0.16895,-0.20117,0.6709,0.73291,-2.0,4.0,5.0,13.0,16.0,7.0,10.0,1.0,37.4375,108.9375,-43.1875,-0.8913,-0.33795,-0.24414,-0.17859
I,-0.02393,-0.57568,0.79443,0.0,-1.0,-3.0,-1.0,1.0,-1.0,0.0,0.0,1.0625,-3.0625,0.0,0.94611,-0.30328,0.05164,-0.10114,-0.13477,0.80176,0.60693,-4.0,-7.0,-2.0,0.0,-2.0,0.0,-1.0,-4.0,-2.3125,-19.75,2.125,-0.22607,-0.07178,-0.41089,-0.88037,-0.0127,-0.56543,0.79834,-1.0,-2.0,-4.0,-5.0,-8.0,-2.0,1.0,-1.0,0.1875,-3.1875,-2.3125,0.94629,-0.30499,0.03741,-0.1001,-0.17676,0.69336,0.729,5.0,2.0,-2.0,4.0,-5.0,2.0,0.0,8.0,9.5,74.875,-61.25,-0.29578,0.01563,-0.41412,-0.86072
I,-0.05957,0.79346,0.60205,-17.0,-1.0,-13.0,-8.0,-2.0,-3.0,-9.0,-20.0,-2.5625,-4.0,2.1875,-0.87738,-0.41016,-0.0968,-0.22974,0.06201,-0.56689,0.80273,1.0,-2.0,-1.0,-4.0,-4.0,3.0,3.0,2.0,0.3125,0.8125,-1.9375,0.93701,-0.29932,0.02649,-0.17786,0.0,0.0,0.0,-1.0,5.0,0.0,5.0,26.0,17.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07324,-0.54639,0.81787,-1.0,-3.0,-7.0,-6.0,-5.0,-3.0,-2.0,-4.0,2.9375,0.625,-2.5625,0.93591,-0.29797,0.02399,-0.18622
I,-0.06934,0.76172,0.64111,2.0,0.0,-2.0,-5.0,-1.0,0.0,2.0,4.0,-3.9375,-16.625,4.625,-0.8316,-0.35791,-0.18066,-0.3844,-0.03223,-0.53613,0.82666,-3.0,2.0,4.0,3.0,7.0,6.0,0.0,0.0,0.3125,-2.25,-0.4375,0.87238,-0.24744,0.12842,-0.40155,-0.08301,0.69531,0.78369,0.0,-6.0,-11.0,-8.0,-5.0,-6.0,1.0,2.0,9.625,72.1875,-65.3125,-0.86102,-0.3205,-0.20966,-0.33484,-0.00977,-0.52344,0.83252,-1.0,-3.0,-3.0,-3.0,-2.0,-2.0,-1.0,3.0,-2.125,0.625,-3.0,0.87,-0.2522,0.12231,-0.40564
I,-0.14746,-0.5708,0.7915,-2.0,-2.0,0.0,-3.0,-4.0,0.0,0.0,-1.0,0.3125,1.5,0.4375,0.63855,-0.14819,0.27716,-0.70245,-0.24268,0.76172,0.62646,2.0,1.0,-8.0,-2.0,-1.0,-1.0,1.0,-7.0,1.0625,-0.75,2.0,-0.43536,-0.30963,0.30273,0.78925,-0.14014,-0.59082,0.80176,0.0,-3.0,-1.0,-3.0,0.0,-1.0,-3.0,-1.0,0.75,-1.5625,-6.0625,0.63568,-0.15045,0.27454,-0.70557,-0.21191,0.84912,0.6416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0625,-49.0625,-7.75,-0.43433,-0.27234,0.31433,0.79901
I,-0.16553,-0.56348,0.79834,4.0,3.0,4.0,6.0,9.0,11.0,5.0,29.0,-0.625,0.875,-0.8125,0.93866,-0.28351,0.13568,-0.14172,-0.21289,0.77002,0.57422,3.0,-7.0,-4.0,-4.0,-2.0,-4.0,-4.0,-11.0,-3.3125,-8.375,4.0625,-0.71777,-0.41199,0.16846,0.53546,-0.16846,-0.55859,0.80273,1.0,3.0,11.0,13.0,10.0,-3.0,-6.0,-16.0,-0.25,-2.875,-6.125,0.93787,-0.28485,0.13159,-0.14819,-0.24561,0.66748,0.77197,-8.0,-2.0,4.0,-3.0,4.0,7.0,8.0,16.0,1.8125,79.6875,-17.3125,-0.7168,-0.39423,0.1203,0.56244
I,-0.16797,0.88721,0.64111,36.0,1.0,-8.0,-13.0,-7.0,-7.0,-4.0,1.0,22.4375,17.25,-6.1875,-0.51611,-0.18719,-0.38403,-0.74243,0.0,0.0,0.0,-1.0,-2.0,-1.0,-3.0,-1.0,-1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42529,0.70215,0.4165,-8.0,-3.0,-4.0,8.0,9.0,2.0,8.0,4.0,-0.875,36.875,-28.4375,-0.49835,-0.02429,-0.5451,-0.67383,-0.03809,-0.56787,0.80273,0.0,0.0,1.0,1.0,3.0,-3.0,0.0,-2.0,2.875,2.8125,-5.1875,0.93927,-0.28784,0.07794,-0.16992
I,-0.19141,0.76465,0.6377,-4.0,0.0,3.0,-1.0,1.0,-3.0,-3.0,-7.0,-0.1875,0.125,-0.875,-0.55084,-0.33557,0.26685,0.71613,-0.14258,-0.56299,0.80518,-2.0,-4.0,-2.0,-5.0,-7.0,-5.0,-10.0,-1.0,-0.25,0.0625,0.125,0.77106,-0.19727,0.23584,-0.55762,-0.14307,0.89063,0.76465,-14.0,8.0,24.0,20.0,24.0,1.0,4.0,8.0,-30.125,1.375,-62.75,-0.52441,-0.31714,0.26501,0.74445,-0.13623,-0.57129,0.79834,0.0,0.0,-1.0,-6.0,-2.0,2.0,2.0,0.0,-1.6875,-1.4375,-4.9375,0.77002,-0.20148,0.23212,-0.55908
I,-0.22217,0.77588,0.60986,7.0,-7.0,-5.0,-5.0,-3.0,-2.0,7.0,61.0,-0.9375,-3.75,2.625,-0.56219,-0.36194,0.25977,0.69678,-0.17627,-0.59033,0.77686,-2.0,-3.0,-3.0,-2.0,0.0,-2.0,-8.0,-18.0,0.375,-0.0625,0.125,0.8233,-0.23065,0.2337,-0.46289,-0.2583,0.57324,0.79492,-2.0,-5.0,-5.0,-7.0,-9.0,-5.0,0.0,-1.0,-18.1875,47.75,-54.125,-0.54187,-0.349,0.1936,0.73969,-0.16553,-0.56934,0.77637,0.0,1.0,-5.0,-8.0,-9.0,-3.0,3.0,4.0,2.0625,1.0,-3.5,0.82141,-0.23248,0.23169,-0.46643
