I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,2.0,2.0,2.0,5.0,-4.0,-7.0,-15.0,-21.0,-10.0,-27.0,-26.0,-21.0,-1.0,0.0,-4.0,-8.0,-5.0,-8.0,2.0,10.0,5.0,5.0,-32.0,-21.0,-9.0,-14.0,-16.0,-19.0,-2.0,0.0,3.0,1.0,3.0,3.0,2.0,13.0,-2.0,13.0,-20.0,-7.0,-3.0,-1.0,5.0,-24.0,-6.0,-5.0,-4.0,-19.0,-19.0,-17.0,-11.0,4.0
I,0.0,2.0,1.0,2.0,1.0,1.0,-1.0,-1.0,-4.0,-11.0,4.0,1.0,0.0,-3.0,-2.0,1.0,1.0,2.0,-4.0,-8.0,0.0,3.0,4.0,-1.0,-6.0,-5.0,-4.0,-3.0,-5.0,4.0,5.0,-14.0,-3.0,-8.0,-10.0,-9.0,-7.0,-4.0,-3.0,-4.0,-16.0,-6.0,-12.0,-6.0,-4.0,-5.0,-9.0,0.0,-5.0,-10.0,-10.0,-15.0,-13.0,-4.0,-2.0,-4.0,-5.0,-1.0,-9.0,-10.0,2.0,-10.0,-2.0,6.0
I,1.0,1.0,3.0,4.0,0.0,6.0,5.0,2.0,-4.0,0.0,-1.0,-1.0,-1.0,-1.0,-3.0,-5.0,0.0,-2.0,-4.0,-4.0,-3.0,-2.0,-2.0,-3.0,-1.0,-3.0,7.0,8.0,4.0,9.0,-7.0,-10.0,-1.0,0.0,1.0,1.0,1.0,4.0,3.0,1.0,-6.0,-9.0,-16.0,-11.0,-5.0,-8.0,-4.0,-16.0,-2.0,-3.0,-6.0,-9.0,-12.0,-6.0,1.0,-2.0,1.0,-18.0,-31.0,11.0,10.0,-7.0,4.0,12.0
I,1.0,4.0,-3.0,-3.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,2.0,4.0,-2.0,-2.0,-8.0,-27.0,-7.0,0.0,-2.0,-7.0,-7.0,-8.0,1.0,2.0,0.0,-8.0,-5.0,-6.0,-1.0,23.0,27.0,17.0,7.0,-4.0,-6.0,-19.0,-18.0,-18.0,-16.0,-7.0,-6.0,-1.0,-8.0,-21.0,-1.0,-11.0,-12.0,-2.0,-1.0,-5.0,-4.0,-3.0,-15.0,-6.0,-4.0,-2.0,1.0
I,2.0,-1.0,-8.0,-6.0,-5.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,4.0,0.0,-1.0,-3.0,0.0,15.0,-2.0,-8.0,-5.0,-1.0,1.0,11.0,30.0,1.0,-5.0,-4.0,-7.0,-7.0,-6.0,0.0,-1.0,-8.0,-7.0,-9.0,-10.0,-9.0,-11.0,1.0,12.0,-7.0,-6.0,-5.0,-9.0,-6.0,2.0,-4.0,-6.0,-4.0,19.0,54.0,36.0,7.0,-2.0,4.0,-11.0,-4.0,-8.0,-8.0,-20.0,-15.0,4.0,1.0,-4.0
I,2.0,1.0,5.0,4.0,5.0,1.0,1.0,9.0,-1.0,-1.0,-1.0,-12.0,-11.0,-4.0,-6.0,1.0,19.0,-12.0,-11.0,-9.0,-5.0,-1.0,-7.0,26.0,-4.0,-1.0,7.0,7.0,3.0,2.0,-1.0,-12.0,-19.0,-5.0,-13.0,1.0,-4.0,-24.0,-9.0,-7.0,-2.0,-2.0,-2.0,-14.0,-16.0,1.0,4.0,17.0,3.0,12.0,6.0,9.0,3.0,5.0,-18.0,-1.0,-7.0,-5.0,-7.0,-15.0,-18.0,-6.0,-2.0,-9.0
I,4.0,4.0,-2.0,-4.0,-1.0,0.0,1.0,-1.0,0.0,-4.0,-7.0,-3.0,0.0,-7.0,-4.0,-1.0,-5.0,2.0,14.0,8.0,-3.0,-7.0,-2.0,-25.0,-4.0,-7.0,-8.0,-13.0,-7.0,-7.0,-4.0,-24.0,0.0,-28.0,-36.0,-31.0,-11.0,17.0,-21.0,19.0,0.0,-2.0,-7.0,-2.0,-3.0,-5.0,-4.0,-10.0,4.0,6.0,0.0,25.0,23.0,6.0,-22.0,-6.0,-7.0,-6.0,-4.0,-5.0,-7.0,2.0,-5.0,-11.0
I,5.0,1.0,-6.0,-5.0,-3.0,-2.0,0.0,1.0,0.0,1.0,3.0,-1.0,0.0,5.0,6.0,0.0,4.0,9.0,-6.0,-6.0,-1.0,-2.0,-5.0,-7.0,-3.0,-8.0,-13.0,-12.0,-16.0,-7.0,1.0,0.0,13.0,6.0,-11.0,-11.0,3.0,6.0,3.0,0.0,-2.0,-5.0,-9.0,-10.0,-1.0,0.0,-6.0,-3.0,-1.0,2.0,-9.0,6.0,9.0,11.0,7.0,4.0,-4.0,-4.0,-5.0,-5.0,-10.0,-3.0,0.0,-4.0
I,7.0,-5.0,-4.0,0.0,0.0,4.0,18.0,26.0,-1.0,-3.0,-2.0,0.0,-2.0,0.0,-2.0,-1.0,-3.0,-2.0,2.0,9.0,6.0,-1.0,0.0,19.0,1.0,-1.0,4.0,2.0,-1.0,-4.0,-2.0,-2.0,3.0,0.0,-3.0,-5.0,-14.0,-3.0,-3.0,-13.0,-5.0,-5.0,-4.0,-2.0,-6.0,-7.0,-4.0,-9.0,-1.0,10.0,15.0,-3.0,-33.0,19.0,-3.0,-8.0,-2.0,-4.0,-2.0,-8.0,-11.0,0.0,3.0,-1.0
I,9.0,11.0,-2.0,-4.0,-4.0,-5.0,-6.0,-8.0,-1.0,-1.0,0.0,-4.0,-6.0,0.0,-1.0,12.0,10.0,14.0,6.0,0.0,12.0,-4.0,4.0,-2.0,-1.0,-3.0,-4.0,0.0,-5.0,-10.0,-4.0,-5.0,4.0,-6.0,-14.0,-11.0,-5.0,11.0,-5.0,-5.0,-2.0,-3.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,5.0,19.0,4.0,2.0,-3.0,4.0,-4.0,-8.0,-3.0,-4.0,-7.0,-11.0,-15.0,-2.0,0.0,-6.0
Julia,-1.0,-2.0,3.0,7.0,6.0,1.0,-7.0,-9.0,2.0,-1.0,-2.0,1.0,2.0,1.0,-2.0,1.0,-2.0,1.0,-3.0,-3.0,-5.0,-2.0,-6.0,-14.0,25.0,31.0,3.0,1.0,-9.0,1.0,-16.0,32.0,1.0,-3.0,-10.0,-18.0,-12.0,-5.0,1.0,18.0,-42.0,54.0,-19.0,-24.0,7.0,-5.0,-28.0,-46.0,-2.0,2.0,0.0,-3.0,0.0,0.0,-5.0,-11.0,52.0,52.0,34.0,6.0,8.0,-3.0,-4.0,38.0
